2020 Ballot Measure Number 2 Implementation: numbers sum: 804, cell: 803.600000
1004 General Fund Receipts: numbers sum: 10837, cell: 10837.200000
1004 General Fund Receipts: numbers sum: 18062, cell: 7224.800000
1075 Alaska Clean Water Loan Fund: numbers sum: 2000, cell: 2000.000000
1100 Alaska Drinking Water Fund: numbers sum: 5800, cell: 5800.000000
1108 Statutory Designated Program Receipts: numbers sum: 300, cell: 300.000000
1108 Statutory Designated Program Receipts: numbers sum: 500, cell: 200.000000
Environ Conservation: numbers sum: 5800, cell: 5800.000000
Environ Conservation: numbers sum: 7800, cell: 2000.000000
Environ Conservation: numbers sum: 39150, cell: 31350.000000
Environ Conservation: numbers sum: 49987, cell: 10837.200000
Environ Conservation: numbers sum: 50287, cell: 300.000000
Environ Conservation: numbers sum: 71187, cell: 20900.000000
Environ Conservation: numbers sum: 78412, cell: 7224.800000
Environ Conservation: numbers sum: 78612, cell: 200.000000
Environ Conservation: numbers sum: 5800, cell: 5800.000000
Environ Conservation: numbers sum: 7800, cell: 2000.000000
Environ Conservation: numbers sum: 39150, cell: 31350.000000
Environ Conservation: numbers sum: 49987, cell: 10837.200000
Environ Conservation: numbers sum: 50287, cell: 300.000000
Environ Conservation: numbers sum: 71187, cell: 20900.000000
Environ Conservation: numbers sum: 78412, cell: 7224.800000
Environ Conservation: numbers sum: 78612, cell: 200.000000
Airport Improvement Program: numbers sum: 5000, cell: 5000.000000
Airport Improvement Program: numbers sum: 10000, cell: 5000.000000
Airport Improvement Program: numbers sum: 12000, cell: 2000.000000
Airport Improvement Program: numbers sum: 18400, cell: 6400.000000
Airport Improvement Program: numbers sum: 40000, cell: 21600.000000
Airport Improvement Program: numbers sum: 60600, cell: 20600.000000
Airport Improvement Program: numbers sum: 65600, cell: 5000.000000
Airport Improvement Program: numbers sum: 91400, cell: 25800.000000
Airport Improvement Program: numbers sum: 108500, cell: 17100.000000
Airport Improvement Program: numbers sum: 114600, cell: 6100.000000
Airport Improvement Program: numbers sum: 115303, cell: 703.000000
Airport Improvement Program: numbers sum: 116315, cell: 1012.000000
Airport Improvement Program: numbers sum: 136715, cell: 20400.000000
Airport Improvement Program: numbers sum: 168115, cell: 31400.000000
Airport Improvement Program: numbers sum: 178115, cell: 10000.000000
Airport Improvement Program: numbers sum: 186115, cell: 8000.000000
Airport Improvement Program: numbers sum: 194415, cell: 8300.000000
Airport Improvement Program: numbers sum: 222653, cell: 28237.623000
Airport Improvement Program: numbers sum: 223375, cell: 722.059000
Airport Improvement Program: numbers sum: 224287, cell: 912.074000
Airport Improvement Program: numbers sum: 224414, cell: 126.677000
Airport Improvement Program: numbers sum: 228541, cell: 4127.462000
Airport Improvement Program: numbers sum: 229934, cell: 1393.447000
Airport Improvement Program: numbers sum: 231150, cell: 1216.099000
Airport Improvement Program: numbers sum: 243358, cell: 12207.679000
Airport Improvement Program: numbers sum: 243621, cell: 263.280000
Airport Improvement Program: numbers sum: 257926, cell: 14304.880000
Airport Improvement Program: numbers sum: 265926, cell: 8000.000000
Airport Improvement Program: numbers sum: 266826, cell: 900.000000
Airport Improvement Program: numbers sum: 271826, cell: 5000.000000
Airport Improvement Program: numbers sum: 272526, cell: 700.000000
Airport Improvement Program: numbers sum: 274026, cell: 1500.000000
Airport Improvement Program: numbers sum: 275026, cell: 1000.000000
Airport Improvement Program: numbers sum: 276026, cell: 1000.000000
Airport Improvement Program: numbers sum: 278220, cell: 2194.000000
Airport Improvement Program: numbers sum: 278887, cell: 666.976000
Airport Improvement Program: numbers sum: 280905, cell: 2018.480000
Airport Improvement Program: numbers sum: 290997, cell: 10092.400000
Airport Improvement Program: numbers sum: 299906, cell: 8909.395000
Airport Improvement Program: numbers sum: 299938, cell: 31.669000
Airport Improvement Program: numbers sum: 300286, cell: 348.362000
Airport Improvement Program: numbers sum: 300505, cell: 218.545000
Airport Improvement Program: numbers sum: 301724, cell: 1218.750000
Airport Improvement Program: numbers sum: 301851, cell: 126.677000
Airport Improvement Program: numbers sum: 301960, cell: 109.273000
Airport Improvement Program: numbers sum: 316023, cell: 14062.500000
Airport Improvement Program: numbers sum: 321023, cell: 5000.000000
Airport Improvement Program: numbers sum: 322778, cell: 1755.200000
Airport Improvement Program: numbers sum: 349580, cell: 26801.904000
Airport Improvement Program: numbers sum: 354580, cell: 5000.000000
Airport Improvement Program: numbers sum: 394780, cell: 40200.000000
Airport Improvement Program: numbers sum: 434980, cell: 40200.000000
Airport Improvement Program: numbers sum: 475180, cell: 40200.000000
Computerized Maintenance Management System (CMMS) Year 3: numbers sum: 1509, cell: 1509.486000
Federal Program Match: numbers sum: 5200, cell: 5200.000000
Federal Program Match: numbers sum: 68421, cell: 63221.000000
Federal Program Match: numbers sum: 76400, cell: 7979.000000
Federal Program Match: numbers sum: 77700, cell: 1300.000000
Federal-Aid Highway Project Match Credits: numbers sum: 1000, cell: 1000.000000
MH: Coordinated Transportation and Vehicles: numbers sum: 1000, cell: 1000.000000
MH: Coordinated Transportation and Vehicles: numbers sum: 1300, cell: 300.000000
Municipal Harbor Facility Grant Fund: numbers sum: 6730, cell: 6729.988000
State Equipment Fleet Replacement: numbers sum: 25000, cell: 25000.000000
Statewide Federal Programs: numbers sum: 5000, cell: 5000.000000
Statewide Federal Programs: numbers sum: 15000, cell: 10000.000000
Statewide Federal Programs: numbers sum: 23000, cell: 8000.000000
Statewide Federal Programs: numbers sum: 23034, cell: 33.858000
Statewide Federal Programs: numbers sum: 33034, cell: 10000.000000
Statewide Federal Programs: numbers sum: 68294, cell: 35260.012000
Surface Transportation Program: numbers sum: 15000, cell: 15000.000000
Surface Transportation Program: numbers sum: 47385, cell: 32385.320000
Surface Transportation Program: numbers sum: 49204, cell: 1819.400000
Surface Transportation Program: numbers sum: 50296, cell: 1091.640000
Surface Transportation Program: numbers sum: 61212, cell: 10916.400000
Surface Transportation Program: numbers sum: 88503, cell: 27291.000000
Surface Transportation Program: numbers sum: 93959, cell: 5455.800000
Surface Transportation Program: numbers sum: 93968, cell: 9.097000
Surface Transportation Program: numbers sum: 105976, cell: 12008.040000
Surface Transportation Program: numbers sum: 112853, cell: 6877.332000
